country,2014_gni,2015_gni,2016_gni,2017_gni,2018_gni,2019_gni,2020_gni,2021_gni,2022_gni,2023_gni,2014_life_expectancy,2015_life_expectancy,2016_life_expectancy,2017_life_expectancy,2018_life_expectancy,2019_life_expectancy,2020_life_expectancy,2021_life_expectancy,2022_life_expectancy,2023_life_expectancy
Afghanistan,695,655,611,578,531,530,500,508,519,531,61.9,61.9,62.0,62.9,62.7,63.3,63.4,64.0,64.3,64.6
Angola,5530,5020,4190,3760,3340,3030,2140,2090,2070,2080,63.0,63.5,63.9,64.2,64.6,65.1,65.2,65.8,66.1,66.4
Albania,5010,4880,4800,4680,5060,5330,5210,5480,5710,5950,78.2,78.1,78.2,78.3,78.4,78.5,77.9,78.7,78.8,79.0
United Arab Emirates,49000,47600,45100,42800,43200,44700,39400,39400,39200,39100,73.0,73.2,73.4,73.5,73.7,73.9,74.0,74.2,74.3,74.4
Argentina,13600,14000,13600,14300,12900,11500,9070,9500,9640,9750,76.5,76.5,76.2,76.3,76.5,76.6,74.6,76.9,77.0,77.2
Armenia,4570,4450,4180,4310,4420,4750,4220,4260,4410,4640,75.2,75.1,75.3,75.5,75.6,75.7,74.0,76.0,76.1,76.3
Antigua and Barbuda,14100,14300,15100,15600,16500,16700,13800,13100,14500,15200,76.0,76.0,76.0,76.1,76.2,76.3,76.3,76.5,76.7,76.8
Australia,71900,67200,60100,56100,55300,56000,53700,56000,57100,57800,82.7,82.7,83.0,83.0,82.9,82.9,82.9,83.2,83.3,83.5
Austria,55600,52700,51300,49000,51000,51900,48400,49800,51500,52400,81.5,81.6,81.8,82.0,82.1,82.2,81.5,82.4,82.6,82.8
Azerbaijan,8540,7340,5320,4480,4250,4600,4480,4530,4550,4570,69.9,70.2,70.3,70.4,70.8,71.0,70.4,71.2,71.3,71.4
Burundi,287,289,289,283,260,245,230,230,231,233,61.4,61.8,62.4,63.0,63.4,63.8,64.0,64.5,64.9,65.2
Belgium,52700,50600,48200,46300,47900,48900,45800,47500,48700,49500,81.0,81.1,81.3,81.4,81.4,81.4,80.2,81.7,81.9,82.0
Benin,1400,1310,1230,1190,1250,1270,1280,1310,1350,1400,62.3,62.6,63.0,63.4,64.0,64.5,64.6,65.1,65.5,65.8
Burkina Faso,839,777,756,730,781,785,770,780,797,818,59.4,59.9,60.3,60.8,61.3,61.7,61.8,62.5,62.9,63.3
Bangladesh,1230,1360,1520,1660,1820,1970,2030,2180,2320,2470,73.0,73.6,73.9,73.9,74.2,74.5,74.7,75.1,75.4,75.7
Bulgaria,8500,8250,8220,8300,8880,9680,9630,10100,10600,11100,73.0,73.2,73.3,73.3,73.3,73.3,71.8,73.6,73.7,73.8
Bahrain,26600,25100,24000,23200,22900,22700,19900,20200,20400,20600,76.6,76.8,76.8,76.8,77.0,77.0,76.3,77.3,77.4,77.5
Bahamas,31000,31800,32200,32800,32400,32900,26100,26300,28200,29000,73.6,73.3,73.7,73.8,73.8,73.4,72.3,73.6,73.7,73.8
Bosnia and Herzegovina,5850,5790,5700,5580,5990,6300,6080,6320,6560,6770,76.7,76.5,76.7,76.8,76.9,77.0,75.4,77.3,77.4,77.6
Belarus,8410,7500,6270,5800,5970,6490,6360,6370,6450,6560,73.1,73.7,73.8,73.8,74.0,74.0,73.5,74.3,74.4,74.5
Belize,4700,4890,4820,4820,4810,4780,4110,4100,4270,4360,74.3,74.2,74.4,74.5,74.4,74.5,72.1,74.7,74.9,75.0
Bolivia,3120,3290,3380,3370,3510,3590,3180,3310,3390,3470,71.1,71.3,71.5,71.7,71.8,72.0,69.8,72.5,72.8,73.0
Brazil,13400,11300,9910,9480,9550,9450,7850,8090,8240,8370,74.8,75.0,75.0,75.4,75.7,75.8,73.6,76.3,76.4,76.6
Barbados,17200,17500,17700,17500,17400,17700,14300,14900,16000,16700,76.5,76.5,76.5,76.5,76.5,76.2,76.2,76.4,76.6,76.7
Brunei,47500,43100,36900,32500,30600,32800,31500,32000,32700,33400,74.0,74.0,74.1,74.1,74.2,74.4,74.4,74.6,74.8,74.9
Bhutan,2720,2800,2940,3050,3090,3210,2840,2760,2890,3020,72.1,72.3,72.5,72.7,73.0,73.2,73.3,73.8,74.1,74.3
