country,2014_happiness,2015_happiness,2016_happiness,happiness_2017,happiness_2018,happiness_2019,happiness_2020,happiness_2021,happiness_2022,col_monthly_2023
Albania,48.1,46.1,45.1,46.4,50.0,50.0,53.6,52.5,52.8,608.0
Argentina,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2,494.0
Australia,72.9,73.1,72.5,72.6,71.8,72.3,71.4,71.1,71.0,1944.0
Austria,69.5,70.8,70.5,72.9,74.0,72.0,72.1,70.8,71.0,1617.0
Belgium,68.5,69.0,69.5,69.3,68.9,67.7,68.4,68.8,68.6,1495.0
Benin,33.5,36.3,40.1,48.5,58.2,49.8,44.1,44.9,43.7,731.0
Burkina Faso,34.8,44.2,42.1,46.5,49.3,47.4,46.4,46.4,46.4,799.0
Bangladesh,46.4,46.3,45.6,43.1,45.0,51.1,52.8,41.2,42.8,521.0
Bulgaria,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7,654.0
Bosnia and Herzegovina,52.5,51.2,51.8,50.9,58.9,60.2,55.2,57.5,56.3,599.0
Bolivia,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8,750.0
Brazil,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3,601.0
Canada,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6,1701.0
Switzerland,74.9,75.7,74.6,74.7,75.1,76.9,75.1,73.3,72.4,2497.0
Chile,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3,905.0
China,52.0,53.0,53.3,51.0,51.3,51.4,57.7,58.6,58.2,752.0
Cameroon,42.4,50.4,48.2,50.7,52.5,49.4,52.4,49.6,49.7,688.0
Colombia,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3,574.0
Costa Rica,72.5,68.5,71.4,72.3,71.4,70.0,63.4,64.1,66.1,852.0
Cyprus,56.3,54.4,58.0,60.6,62.8,61.4,62.6,62.7,61.3,1266.0
Germany,69.8,70.4,68.7,70.7,71.2,70.3,73.1,67.5,68.9,1414.0
Denmark,75.1,75.1,75.6,75.9,76.5,76.9,75.2,77.0,75.9,1837.0
Dominican Republic,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7,711.0
Ecuador,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6,756.0
Egypt,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7,449.0
Spain,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4,1260.0
Estonia,55.6,56.3,56.5,59.4,60.9,60.4,64.5,65.5,64.5,1040.0
Finland,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0,1536.0
France,64.7,63.6,64.8,66.3,66.7,66.9,67.1,66.6,66.6,1519.0
Gabon,39.2,46.6,48.3,47.8,47.8,49.1,48.9,50.8,50.4,587.0
Georgia,42.9,41.2,44.5,44.5,46.6,48.9,51.2,49.1,51.1,538.0
Ghana,38.6,39.9,45.1,54.8,50.0,49.7,53.2,43.8,46.0,701.0
Guinea,34.1,35.0,36.0,48.7,52.5,47.7,49.7,49.5,50.7,877.0
Greece,47.6,56.2,53.0,51.5,54.1,59.5,57.9,61.0,59.3,1008.0
Croatia,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3,1001.0
Hungary,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4,817.0
Indonesia,56.0,50.4,51.4,51.0,53.4,53.5,48.3,54.3,52.8,548.0
India,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4,423.0
Ireland,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1,2316.0
Iran,46.8,47.5,46.5,47.2,42.8,50.1,48.6,47.9,48.8,668.0
Israel,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7,1774.0
Italy,60.3,58.5,59.5,62.0,65.2,64.5,64.9,64.7,64.0,1359.0
Jordan,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2,850.0
Japan,59.2,58.8,59.5,59.1,57.9,59.1,61.2,60.9,61.3,1370.0
Kazakhstan,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4,468.0
Kenya,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9,654.0
Cambodia,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9,692.0
South Korea,58.0,57.8,59.7,58.7,58.4,59.0,57.9,61.1,59.5,1154.0
Lebanon,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9,1411.0
Lithuania,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6,869.0
Latvia,57.3,58.8,59.4,59.8,59.0,59.7,62.3,63.5,62.1,938.0
Moldova,59.2,60.2,55.8,53.3,56.8,58.0,58.1,59.6,58.2,537.0
Mexico,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3,678.0
North Macedonia,52.0,49.8,53.5,52.3,52.4,50.1,50.5,55.4,52.5,553.0
Mali,39.8,45.8,40.2,47.4,44.2,49.9,42.7,41.1,42.0,560.0
Malta,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0,1519.0
Myanmar,47.9,42.2,46.2,41.5,44.1,44.3,44.3,43.1,43.7,864.0
Mongolia,48.3,49.8,50.6,53.3,54.6,55.6,60.1,57.2,58.4,603.0
Nicaragua,62.8,59.2,60.1,64.8,58.2,61.1,62.9,61.0,62.6,633.0
Netherlands,73.2,73.2,75.4,74.6,74.6,74.3,75.0,73.1,74.0,1778.0
Norway,74.4,76.0,76.0,75.8,74.4,74.4,72.9,73.6,73.2,2074.0
Nepal,49.8,48.1,51.0,47.4,49.1,54.5,59.8,46.2,53.6,439.0
New Zealand,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2,1782.0
Pakistan,54.4,48.2,55.5,58.3,54.7,44.4,46.2,44.9,45.5,370.0
Peru,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3,630.0
Philippines,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2,601.0
Poland,57.5,60.1,61.6,62.0,61.1,62.4,61.4,59.8,62.6,882.0
Portugal,51.3,50.8,54.5,57.1,59.2,61.0,57.7,61.8,59.7,1038.0
Romania,57.3,57.8,59.7,60.9,61.5,61.3,67.8,65.5,65.9,652.0
Russia,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6,656.0
Saudi Arabia,62.8,63.5,64.7,62.9,63.6,65.6,65.6,64.5,64.6,952.0
Senegal,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5,1144.0
El Salvador,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2,816.0
Serbia,51.1,53.2,57.5,51.2,59.4,62.4,60.4,62.5,61.4,711.0
Slovenia,56.8,57.4,59.4,61.7,62.5,66.7,64.6,67.6,66.5,1175.0
Sweden,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0,1515.0
Thailand,69.8,62.0,60.7,59.4,60.1,60.2,58.9,56.4,58.4,831.0
Tajikistan,49.0,51.2,51.0,58.3,55.0,54.6,53.7,52.9,53.3,450.0
Tunisia,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0,424.0
Turkey,55.8,55.1,53.3,56.1,51.9,48.7,48.6,43.7,46.1,447.0
Taiwan,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3,1057.0
Tanzania,34.8,36.6,29.0,33.5,34.5,36.4,37.9,36.8,36.9,760.0
Uganda,37.7,42.4,42.3,40.0,43.2,49.5,46.4,42.3,44.3,604.0
Ukraine,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7,542.0
Uruguay,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9,929.0
Uzbekistan,60.5,59.7,58.9,64.2,62.0,61.5,58.4,61.9,60.1,529.0
Venezuela,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1,657.0
Vietnam,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6,639.0
South Africa,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8,974.0
Zambia,43.5,48.4,43.5,39.3,40.4,33.1,48.4,30.8,39.8,676.0
Zimbabwe,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0,935.0
